2026-02-27 10:54:22 [INFO]: id: 698dbb06bcc74a177f8719f0, role: staff
2026-02-27 11:06:12 [INFO]: id: 6989c0e19b953bee6ff90502, role: chef
2026-02-27 11:06:40 [INFO]: id: 6989c0e19b953bee6ff90502, role: chef
2026-02-27 11:09:02 [INFO]: id: 6989c0e19b953bee6ff90502, role: chef
2026-02-27 11:10:10 [INFO]: id: 692ea36738a54f8d01ed6747, role: admin
2026-02-27 11:34:14 [INFO]: id: 692ea36738a54f8d01ed6747, role: admin
2026-02-27 11:50:03 [INFO]: id: 692ea36738a54f8d01ed6747, role: admin
2026-02-27 11:50:18 [INFO]: id: 691bc55c017059272d8ee6b9, role: superadmin
2026-02-27 11:58:48 [INFO]: id: 69a1399febaa1077b57a6d92, role: admin
2026-02-27 11:59:11 [INFO]: id: 691bc55c017059272d8ee6b9, role: superadmin
2026-02-27 13:44:44 [INFO]: id: 692ea36738a54f8d01ed6747, role: admin
2026-02-27 13:47:58 [INFO]: id: 698dbb06bcc74a177f8719f0, role: staff
2026-02-27 13:49:30 [INFO]: id: 6989c0e19b953bee6ff90502, role: chef
2026-02-27 13:50:47 [INFO]: id: 698dbb06bcc74a177f8719f0, role: staff
2026-02-27 14:09:53 [INFO]: id: 6989c0e19b953bee6ff90502, role: chef
2026-02-27 14:13:43 [INFO]: id: 697ca908cfad78f5aa83d4f7, role: user
2026-02-27 14:21:22 [INFO]: id: 698dbb06bcc74a177f8719f0, role: staff
2026-02-27 14:25:26 [INFO]: id: 6989c0e19b953bee6ff90502, role: chef
2026-02-27 14:30:47 [INFO]: id: 697ca908cfad78f5aa83d4f7, role: user
2026-02-27 14:40:50 [INFO]: id: 6989c0e19b953bee6ff90502, role: chef
2026-02-27 14:42:56 [INFO]: id: 697ca908cfad78f5aa83d4f7, role: user
2026-02-27 14:46:54 [INFO]: id: 698dbb06bcc74a177f8719f0, role: staff
2026-02-27 14:50:46 [INFO]: id: 6989c0e19b953bee6ff90502, role: chef
2026-02-27 14:54:49 [INFO]: id: 698dbb06bcc74a177f8719f0, role: staff
2026-02-27 14:56:39 [INFO]: id: 6989c0e19b953bee6ff90502, role: chef
2026-02-27 15:13:06 [INFO]: id: 6989c0e19b953bee6ff90502, role: chef
2026-02-27 15:18:32 [INFO]: id: 697ca414cfad78f5aa83d4a6, role: user
2026-02-27 15:23:37 [INFO]: id: 6989c0e19b953bee6ff90502, role: chef
2026-02-27 15:24:00 [INFO]: id: 698dbb06bcc74a177f8719f0, role: staff
2026-02-27 15:38:26 [INFO]: id: 697ca414cfad78f5aa83d4a6, role: user
2026-02-27 15:39:25 [INFO]: id: 6989c0e19b953bee6ff90502, role: chef
2026-02-27 16:09:22 [INFO]: id: 697ca414cfad78f5aa83d4a6, role: user
2026-02-27 16:09:24 [INFO]: id: 697ca414cfad78f5aa83d4a6, role: user
2026-02-27 16:09:26 [INFO]: id: 697ca414cfad78f5aa83d4a6, role: user
